SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal,Cluster
COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CC[NH2+]CC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,ligprep_CSK_2.sdf:1123,3552,Done,4.7,-9.17089,glide-grid_CSK,-9.17949,-3.38762,-0.221026,0,-1.98083,-48.801,-8.64653,0.215949,-0.0689345,-87.64,-57.4476,3.98604,2
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11037,Done,89.63,-9.16872,glide-grid_CSK,-10.6187,-1.4851,-1.40228,0,-0.699007,-56.1761,-40.9266,0.432796,-0.656328,-178.586,-97.1027,16.2305,3
C[NH+](C)[C@H]1C[C@@H](n2cnc3c(N)ncnc32)O[C@@H]1CO,ligprep_CSK_2.sdf:14832,52673,Done,4.57,-9.13756,glide-grid_CSK,-9.22376,-1.37257,-0.805882,0,-4.08197,-29.9421,-11.8546,0.323736,-0.0117774,-60.8784,-41.7967,5.14062,7
COc1ccccc1-c1nccc(COc2ccccc2C[C@@H](Oc2ncnc3sc(-c4ccc(F)cc4)c(-c4ccc(OCC[NH+]5CCN(C)CC5)c(Cl)c4C)c23)C(=O)[O-])n1,ligprep_CSK_2.sdf:371,1190,Done,23.33,-9.13681,glide-grid_CSK,-10.261,-4.23335,-0.192893,0,-0.520061,-69.08,-12.8829,0.186269,-0.11454,-136.841,-81.9629,13.6387,6
Cn1c(=O)c2cc3cc(Cl)ccc3nc2c2c(=O)n(-c3ccccc3)c(=O)n(-c3ccccc3)c21,ligprep_CSK_2.sdf:29869,79452,Done,1.45,-9.12036,glide-grid_CSK,-9.12036,-3.93836,-0.316074,0,-1.80061,-54.0128,-3.60053,0.175403,0,-85.7136,-57.6133,2.14,2
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3153,10148,Done,83.6,-9.09875,glide-grid_CSK,-10.6833,-1.34518,-1.4867,0,-1.19187,-49.6476,-36.1287,0.507842,-0.685057,-149.438,-85.7763,34.7154,1
CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc1ccc(C(N)=[NH2+])cc1)n2C)c1ccccn1,ligprep_CSK_2.sdf:3743,11945,Done,14.12,-9.09602,glide-grid_CSK,-9.23852,-1.9372,-0.587723,0,-2.15834,-38.2544,-19.8947,0.570469,-0.228792,-91.6924,-58.1491,11.5986,17
CSCC[C@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CS)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC[NH2+]1)C(=O)[O-],ligprep_CSK_2.sdf:5277,16827,Done,66.79,-9.09165,glide-grid_CSK,-9.73125,-0.882397,-1.00628,0,-1.09529,-52.2043,-35.451,0.522028,-0.659102,-155.971,-87.6553,22.8595,14
Nc1ncc(-c2cccc(N3CC[NH2+]CC3)c2)cc1C(=O)Nc1ccncc1,ligprep_CSK_2.sdf:3296,10537,Done,11.53,-9.07624,glide-grid_CSK,-9.09124,-3.0333,-0.808,0,-1.91143,-39.4979,-11.4648,0.480378,-0.124275,-84.6216,-50.9627,3.82885,8
CSCC[C@@H](NC(=O)CCCCCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)C(=O)[O-],ligprep_CSK_2.sdf:19512,62209,Done,11.6,-9.06824,glide-grid_CSK,-9.06824,-2.66924,-0.566355,0,-2.53253,-45.5648,-12.1596,0.903493,-0.101428,-91.9761,-57.7244,10.0005,17
